segment_index,user,action,dataset_id,label_index,label,label_timestamp_us,next_label_timestamp_us,start_sample_index,stop_sample_index_exclusive,first_sample_timestamp_us,last_sample_timestamp_us,sample_count,gravity_removal_method,gravity_low_pass_cutoff_hz,gravity_madgwick_beta,is_last_label,segment_end_source,ring_source_path,label_source_path
14,user_1,0,0,17,i,1720464171644074.0,1720464173314418.0,14624,14953,1720464171646610.0,1720464173305115.0,329,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/0_ring_0.bin,data/user_1/0/0_timestamp.txt
15,user_1,0,0,18,d,1720464173314418.0,1720464175298301.0,14953,15348,1720464173322327.0,1720464175254943.0,395,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/0_ring_0.bin,data/user_1/0/0_timestamp.txt
16,user_1,0,0,19,h,1720464175298301.0,1720464177485838.0,15348,15790,1720464175302319.0,1720464177439766.0,442,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/0_ring_0.bin,data/user_1/0/0_timestamp.txt
17,user_1,0,0,20,w,1720464177485838.0,1720464179476795.0,15790,16192,1720464177516089.0,1720464179428696.0,402,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/0_ring_0.bin,data/user_1/0/0_timestamp.txt
18,user_1,0,0,21,q,1720464179476795.0,1720464181627021.0,16192,16608,1720464179504701.0,1720464181618096.0,416,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/0_ring_0.bin,data/user_1/0/0_timestamp.txt
19,user_1,0,0,22,a,1720464181627021.0,1720464183805814.0,16608,17056,1720464181633926.0,1720464183730153.0,448,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/0_ring_0.bin,data/user_1/0/0_timestamp.txt
20,user_1,0,0,23,p,1720464183805814.0,1720464185613710.0,17056,17424,1720464183808809.0,1720464185611287.0,368,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/0_ring_0.bin,data/user_1/0/0_timestamp.txt
21,user_1,0,0,24,k,1720464185613710.0,1720464187705719.0,17424,17840,1720464185625408.0,1720464187646498.0,416,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/0_ring_0.bin,data/user_1/0/0_timestamp.txt
22,user_1,0,0,25,v,1720464187705719.0,,17840,18181,1720464187708932.0,1720464189354648.0,341,low-pass,0.2,0.1,True,ring_recording_end,data/user_1/0/0_ring_0.bin,data/user_1/0/0_timestamp.txt
23,user_1,0,1,0,S,1720464224033637.0,1720464226782570.0,763,1306,1720464224110226.0,1720464226761526.0,543,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/1_ring_0.bin,data/user_1/0/1_timestamp.txt
24,user_1,0,1,1,L,1720464226782570.0,1720464228205368.0,1306,1593,1720464226807862.0,1720464228201993.0,287,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/1_ring_0.bin,data/user_1/0/1_timestamp.txt
25,user_1,0,1,2,T,1720464228205368.0,1720464229946323.0,1593,1948,1720464228215794.0,1720464229936963.0,355,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/1_ring_0.bin,data/user_1/0/1_timestamp.txt
26,user_1,0,1,3,F,1720464229946323.0,1720464231795928.0,1948,2310,1720464229998578.0,1720464231748787.0,362,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/1_ring_0.bin,data/user_1/0/1_timestamp.txt
27,user_1,0,1,4,J,1720464231795928.0,1720464233667910.0,2310,2691,1720464231811479.0,1720464233632405.0,381,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/1_ring_0.bin,data/user_1/0/1_timestamp.txt
28,user_1,0,1,5,B,1720464233667910.0,1720464235974218.0,2691,3154,1720464233697417.0,1720464235944990.0,463,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/1_ring_0.bin,data/user_1/0/1_timestamp.txt
29,user_1,0,1,6,X,1720464235974218.0,1720464238220827.0,3154,3602,1720464236007793.0,1720464238209273.0,448,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/1_ring_0.bin,data/user_1/0/1_timestamp.txt
30,user_1,0,1,7,E,1720464238220827.0,1720464240609468.0,3602,4078,1720464238224325.0,1720464240555679.0,476,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/1_ring_0.bin,data/user_1/0/1_timestamp.txt
31,user_1,0,1,8,U,1720464240609468.0,1720464242311318.0,4078,4419,1720464240616609.0,1720464242247482.0,341,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/1_ring_0.bin,data/user_1/0/1_timestamp.txt
32,user_1,0,1,9,N,1720464242311318.0,1720464244399755.0,4419,4841,1720464242324942.0,1720464244351734.0,422,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/1_ring_0.bin,data/user_1/0/1_timestamp.txt
33,user_1,0,1,10,M,1720464244399755.0,1720464246210056.0,4841,5209,1720464244399755.0,1720464246201599.0,368,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/1_ring_0.bin,data/user_1/0/1_timestamp.txt
34,user_1,0,1,11,G,1720464246210056.0,1720464248241393.0,5209,5624,1720464246216331.0,1720464248236221.0,415,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/1_ring_0.bin,data/user_1/0/1_timestamp.txt
35,user_1,0,1,12,Z,1720464248241393.0,1720464250075640.0,5624,5986,1720464248251354.0,1720464250045004.0,362,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/1_ring_0.bin,data/user_1/0/1_timestamp.txt
36,user_1,0,1,13,Y,1720464250075640.0,1720464251886063.0,5986,6348,1720464250107417.0,1720464251857086.0,362,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/1_ring_0.bin,data/user_1/0/1_timestamp.txt
37,user_1,0,1,14,R,1720464251886063.0,1720464254032661.0,6348,6776,1720464251902837.0,1720464254022178.0,428,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/1_ring_0.bin,data/user_1/0/1_timestamp.txt
38,user_1,0,1,15,C,1720464254032661.0,1720464255679764.0,6776,7111,1720464254037196.0,1720464255631691.0,335,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/1_ring_0.bin,data/user_1/0/1_timestamp.txt
39,user_1,0,1,16,O,1720464255679764.0,1720464257425552.0,7111,7466,1720464255708887.0,1720464257414949.0,355,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/1_ring_0.bin,data/user_1/0/1_timestamp.txt
40,user_1,0,1,17,I,1720464257425552.0,1720464258828864.0,7466,7747,1720464257429339.0,1720464258821478.0,281,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/1_ring_0.bin,data/user_1/0/1_timestamp.txt
41,user_1,0,1,18,D,1720464258828864.0,1720464260699808.0,7747,8116,1720464258839244.0,1720464260632948.0,369,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/1_ring_0.bin,data/user_1/0/1_timestamp.txt
42,user_1,0,1,19,H,1720464260699808.0,1720464262909885.0,8116,8564,1720464260710985.0,1720464262905889.0,448,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/1_ring_0.bin,data/user_1/0/1_timestamp.txt
43,user_1,0,1,20,W,1720464262909885.0,1720464264715057.0,8564,8925,1720464262921197.0,1720464264706029.0,361,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/1_ring_0.bin,data/user_1/0/1_timestamp.txt
44,user_1,0,1,21,Q,1720464264715057.0,1720464266692985.0,8925,9321,1720464264721351.0,1720464266639412.0,396,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/1_ring_0.bin,data/user_1/0/1_timestamp.txt
45,user_1,0,1,22,A,1720464266692985.0,1720464268790980.0,9321,9743,1720464266718095.0,1720464268748608.0,422,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/1_ring_0.bin,data/user_1/0/1_timestamp.txt
46,user_1,0,1,23,P,1720464268790980.0,1720464270801539.0,9743,10145,1720464268811207.0,1720464270736963.0,402,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/1_ring_0.bin,data/user_1/0/1_timestamp.txt
47,user_1,0,1,24,K,1720464270801539.0,1720464272671932.0,10145,10526,1720464270814298.0,1720464272645825.0,381,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/1_ring_0.bin,data/user_1/0/1_timestamp.txt
48,user_1,0,1,25,V,1720464272671932.0,,10526,10788,1720464272676221.0,1720464273947356.0,262,low-pass,0.2,0.1,True,ring_recording_end,data/user_1/0/1_ring_0.bin,data/user_1/0/1_timestamp.txt
49,user_1,0,2,0,n,1720464301146981.0,1720464303163570.0,200,604,1720464301146981.0,1720464303133731.0,404,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/2_ring_0.bin,data/user_1/0/2_timestamp.txt
50,user_1,0,2,1,z,1720464303163570.0,1720464304761076.0,604,925,1720464303211301.0,1720464304730249.0,321,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/2_ring_0.bin,data/user_1/0/2_timestamp.txt
51,user_1,0,2,2,a,1720464304761076.0,1720464306570053.0,925,1287,1720464304823785.0,1720464306529063.0,362,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/2_ring_0.bin,data/user_1/0/2_timestamp.txt
52,user_1,0,2,3,g,1720464306570053.0,1720464308534090.0,1287,1688,1720464306605995.0,1720464308524673.0,401,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/2_ring_0.bin,data/user_1/0/2_timestamp.txt
53,user_1,0,2,4,m,1720464308534090.0,1720464310199615.0,1688,2010,1720464308539618.0,1720464310131345.0,322,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/2_ring_0.bin,data/user_1/0/2_timestamp.txt
54,user_1,0,2,5,h,1720464310199615.0,1720464311746976.0,2010,2332,1720464310209452.0,1720464311731096.0,322,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/2_ring_0.bin,data/user_1/0/2_timestamp.txt
55,user_1,0,2,6,r,1720464311746976.0,1720464313149973.0,2332,2613,1720464311808673.0,1720464313138357.0,281,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/2_ring_0.bin,data/user_1/0/2_timestamp.txt
56,user_1,0,2,7,v,1720464313149973.0,1720464314436196.0,2613,2874,1720464313215954.0,1720464314434069.0,261,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/2_ring_0.bin,data/user_1/0/2_timestamp.txt
57,user_1,0,2,8,e,1720464314436196.0,1720464315888749.0,2874,3155,1720464314512146.0,1720464315826670.0,281,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/2_ring_0.bin,data/user_1/0/2_timestamp.txt
58,user_1,0,2,9,q,1720464315888749.0,1720464317498785.0,3155,3477,1720464315919165.0,1720464317446090.0,322,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/2_ring_0.bin,data/user_1/0/2_timestamp.txt
59,user_1,0,2,10,d,1720464317498785.0,1720464319242934.0,3477,3837,1720464317507254.0,1720464319228307.0,360,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/2_ring_0.bin,data/user_1/0/2_timestamp.txt
60,user_1,0,2,11,y,1720464319242934.0,1720464320835206.0,3837,4153,1720464319243933.0,1720464320821562.0,316,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/2_ring_0.bin,data/user_1/0/2_timestamp.txt
61,user_1,0,2,12,j,1720464320835206.0,1720464322281254.0,4153,4441,1720464320836204.0,1720464322248482.0,288,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/2_ring_0.bin,data/user_1/0/2_timestamp.txt
62,user_1,0,2,13,i,1720464322281254.0,1720464323796482.0,4441,4742,1720464322311983.0,1720464323731139.0,301,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/2_ring_0.bin,data/user_1/0/2_timestamp.txt
63,user_1,0,2,14,b,1720464323796482.0,1720464325188295.0,4742,5024,1720464323809272.0,1720464325136107.0,282,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/2_ring_0.bin,data/user_1/0/2_timestamp.txt
64,user_1,0,2,15,s,1720464325188295.0,1720464326760329.0,5024,5345,1720464325213460.0,1720464326737827.0,321,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/2_ring_0.bin,data/user_1/0/2_timestamp.txt
65,user_1,0,2,16,o,1720464326760329.0,1720464328049207.0,5345,5606,1720464326815082.0,1720464328036278.0,261,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/2_ring_0.bin,data/user_1/0/2_timestamp.txt
66,user_1,0,2,17,x,1720464328049207.0,1720464329346966.0,5606,5866,1720464328113469.0,1720464329338989.0,260,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/2_ring_0.bin,data/user_1/0/2_timestamp.txt
67,user_1,0,2,18,f,1720464329346966.0,1720464331072260.0,5866,6209,1720464329354973.0,1720464331053844.0,343,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/2_ring_0.bin,data/user_1/0/2_timestamp.txt
68,user_1,0,2,19,k,1720464331072260.0,1720464332864054.0,6209,6571,1720464331101612.0,1720464332834104.0,362,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/2_ring_0.bin,data/user_1/0/2_timestamp.txt
69,user_1,0,2,20,t,1720464332864054.0,1720464334529701.0,6571,6905,1720464332909916.0,1720464334522315.0,334,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/2_ring_0.bin,data/user_1/0/2_timestamp.txt
70,user_1,0,2,21,w,1720464334529701.0,1720464336038714.0,6905,7213,1720464334536901.0,1720464336037449.0,308,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/2_ring_0.bin,data/user_1/0/2_timestamp.txt
71,user_1,0,2,22,c,1720464336038714.0,1720464337358227.0,7213,7475,1720464336116961.0,1720464337350094.0,262,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/2_ring_0.bin,data/user_1/0/2_timestamp.txt
72,user_1,0,2,23,p,1720464337358227.0,1720464338981141.0,7475,7796,1720464337412012.0,1720464338941799.0,321,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/2_ring_0.bin,data/user_1/0/2_timestamp.txt
73,user_1,0,2,24,l,1720464338981141.0,1720464340159306.0,7796,8037,1720464339018350.0,1720464340141029.0,241,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/2_ring_0.bin,data/user_1/0/2_timestamp.txt
74,user_1,0,2,25,u,1720464340159306.0,,8037,8419,1720464340202236.0,1720464342028250.0,382,low-pass,0.2,0.1,True,ring_recording_end,data/user_1/0/2_ring_0.bin,data/user_1/0/2_timestamp.txt
75,user_1,0,3,0,N,1720464370255104.0,1720464372558825.0,240,703,1720464370261710.0,1720464372548717.0,463,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/3_ring_0.bin,data/user_1/0/3_timestamp.txt
76,user_1,0,3,1,Z,1720464372558825.0,1720464373964432.0,703,984,1720464372610771.0,1720464373937394.0,281,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/3_ring_0.bin,data/user_1/0/3_timestamp.txt
77,user_1,0,3,2,A,1720464373964432.0,1720464375884578.0,984,1366,1720464374016214.0,1720464375849122.0,382,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/3_ring_0.bin,data/user_1/0/3_timestamp.txt
78,user_1,0,3,3,G,1720464375884578.0,1720464378097731.0,1366,1808,1720464375910714.0,1720464378064044.0,442,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/3_ring_0.bin,data/user_1/0/3_timestamp.txt
79,user_1,0,3,4,M,1720464378097731.0,1720464380059023.0,1808,2204,1720464378112092.0,1720464380052415.0,396,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/3_ring_0.bin,data/user_1/0/3_timestamp.txt
80,user_1,0,3,5,H,1720464380059023.0,1720464381718949.0,2204,2537,1720464380066357.0,1720464381707836.0,333,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/3_ring_0.bin,data/user_1/0/3_timestamp.txt
81,user_1,0,3,6,R,1720464381718949.0,1720464383492241.0,2537,2893,1720464381722908.0,1720464383443005.0,356,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/3_ring_0.bin,data/user_1/0/3_timestamp.txt
82,user_1,0,3,7,V,1720464383492241.0,1720464384854921.0,2893,3174,1720464383521092.0,1720464384849076.0,281,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/3_ring_0.bin,data/user_1/0/3_timestamp.txt
83,user_1,0,3,8,E,1720464384854921.0,1720464387192623.0,3174,3636,1720464384911817.0,1720464387145567.0,462,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/3_ring_0.bin,data/user_1/0/3_timestamp.txt
84,user_1,0,3,9,Q,1720464387192623.0,1720464389021177.0,3636,4004,1720464387207951.0,1720464389006869.0,368,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/3_ring_0.bin,data/user_1/0/3_timestamp.txt
85,user_1,0,3,10,D,1720464389021177.0,1720464390477306.0,4004,4299,1720464389023201.0,1720464390442660.0,295,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/3_ring_0.bin,data/user_1/0/3_timestamp.txt
86,user_1,0,3,11,Y,1720464390477306.0,1720464392042221.0,4299,4614,1720464390506414.0,1720464392040196.0,315,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/3_ring_0.bin,data/user_1/0/3_timestamp.txt
87,user_1,0,3,12,J,1720464392042221.0,1720464393513146.0,4614,4908,1720464392054463.0,1720464393505932.0,294,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/3_ring_0.bin,data/user_1/0/3_timestamp.txt
88,user_1,0,3,13,I,1720464393513146.0,1720464394579541.0,4908,5123,1720464393521177.0,1720464394539796.0,215,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/3_ring_0.bin,data/user_1/0/3_timestamp.txt
89,user_1,0,3,14,B,1720464394579541.0,1720464396399705.0,5123,5485,1720464394613245.0,1720464396351311.0,362,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/3_ring_0.bin,data/user_1/0/3_timestamp.txt
90,user_1,0,3,15,S,1720464396399705.0,1720464397962636.0,5485,5806,1720464396414610.0,1720464397944981.0,321,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/3_ring_0.bin,data/user_1/0/3_timestamp.txt
91,user_1,0,3,17,X,1720464403021998.0,1720464406440478.0,6817,7512,1720464403023994.0,1720464406439472.0,695,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/3_ring_0.bin,data/user_1/0/3_timestamp.txt
92,user_1,0,3,18,F,1720464406440478.0,1720464408040371.0,7512,7829,1720464406440478.0,1720464408031184.0,317,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/3_ring_0.bin,data/user_1/0/3_timestamp.txt
93,user_1,0,3,19,K,1720464408040371.0,1720464409695637.0,7829,8157,1720464408047080.0,1720464409671265.0,328,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/3_ring_0.bin,data/user_1/0/3_timestamp.txt
94,user_1,0,3,20,T,1720464409695637.0,1720464410904476.0,8157,8398,1720464409716548.0,1720464410828058.0,241,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/3_ring_0.bin,data/user_1/0/3_timestamp.txt
95,user_1,0,3,21,W,1720464410904476.0,1720464412567115.0,8398,8739,1720464410919360.0,1720464412547955.0,341,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/3_ring_0.bin,data/user_1/0/3_timestamp.txt
96,user_1,0,3,22,C,1720464412567115.0,1720464413833053.0,8739,8994,1720464412625254.0,1720464413828827.0,255,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/3_ring_0.bin,data/user_1/0/3_timestamp.txt
97,user_1,0,3,23,P,1720464413833053.0,1720464415399179.0,8994,9302,1720464413843602.0,1720464415358045.0,308,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/3_ring_0.bin,data/user_1/0/3_timestamp.txt
98,user_1,0,3,24,L,1720464415399179.0,1720464416634915.0,9302,9556,1720464415420377.0,1720464416629243.0,254,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/3_ring_0.bin,data/user_1/0/3_timestamp.txt
99,user_1,0,3,25,U,1720464416634915.0,,9556,9824,1720464416642656.0,1720464417943478.0,268,low-pass,0.2,0.1,True,ring_recording_end,data/user_1/0/3_ring_0.bin,data/user_1/0/3_timestamp.txt
100,user_1,0,4,0,y,1720464449144486.0,1720464450743703.0,242,569,1720464449145379.0,1720464450727822.0,327,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/4_ring_0.bin,data/user_1/0/4_timestamp.txt
101,user_1,0,4,1,i,1720464450743703.0,1720464451923809.0,569,803,1720464450818143.0,1720464451915801.0,234,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/4_ring_0.bin,data/user_1/0/4_timestamp.txt
102,user_1,0,4,2,e,1720464451923809.0,1720464453066158.0,803,1032,1720464451930853.0,1720464453061396.0,229,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/4_ring_0.bin,data/user_1/0/4_timestamp.txt
103,user_1,0,4,3,j,1720464453066158.0,1720464454825879.0,1032,1373,1720464453108564.0,1720464454740427.0,341,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/4_ring_0.bin,data/user_1/0/4_timestamp.txt
104,user_1,0,4,4,z,1720464454825879.0,1720464456081271.0,1373,1634,1720464454831844.0,1720464456047935.0,261,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/4_ring_0.bin,data/user_1/0/4_timestamp.txt
105,user_1,0,4,5,d,1720464456081271.0,1720464457666458.0,1634,1956,1720464456110130.0,1720464457640153.0,322,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/4_ring_0.bin,data/user_1/0/4_timestamp.txt
106,user_1,0,4,6,o,1720464457666458.0,1720464459016626.0,1956,2217,1720464457717895.0,1720464458938630.0,261,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/4_ring_0.bin,data/user_1/0/4_timestamp.txt
107,user_1,0,4,7,w,1720464459016626.0,1720464460381073.0,2217,2498,1720464459016626.0,1720464460352120.0,281,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/4_ring_0.bin,data/user_1/0/4_timestamp.txt
108,user_1,0,4,8,q,1720464460381073.0,1720464461919386.0,2498,2812,1720464460414004.0,1720464461918384.0,314,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/4_ring_0.bin,data/user_1/0/4_timestamp.txt
109,user_1,0,4,9,x,1720464461919386.0,1720464463594654.0,2812,3141,1720464461930567.0,1720464463558074.0,329,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/4_ring_0.bin,data/user_1/0/4_timestamp.txt
110,user_1,0,4,10,m,1720464463594654.0,1720464465512240.0,3141,3526,1720464463619217.0,1720464465511136.0,385,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/4_ring_0.bin,data/user_1/0/4_timestamp.txt
111,user_1,0,4,11,u,1720464465512240.0,1720464466766951.0,3526,3784,1720464465512240.0,1720464466745595.0,258,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/4_ring_0.bin,data/user_1/0/4_timestamp.txt
112,user_1,0,4,12,n,1720464466766951.0,1720464468059610.0,3784,4044,1720464466806661.0,1720464468046474.0,260,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/4_ring_0.bin,data/user_1/0/4_timestamp.txt
113,user_1,0,4,13,p,1720464468059610.0,1720464469458317.0,4044,4326,1720464468064745.0,1720464469438995.0,282,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/4_ring_0.bin,data/user_1/0/4_timestamp.txt
114,user_1,0,4,14,r,1720464469458317.0,1720464470675065.0,4326,4567,1720464469515609.0,1720464470646783.0,241,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/4_ring_0.bin,data/user_1/0/4_timestamp.txt
115,user_1,0,4,15,a,1720464470675065.0,1720464472240400.0,4567,4888,1720464470708375.0,1720464472234127.0,321,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/4_ring_0.bin,data/user_1/0/4_timestamp.txt
