temporal_mode,source_method,representation,quantile,test_ba_mean,test_ba_std,active_fraction_test_mean,events_per_sample_test_mean,zero_event_fraction_test_mean
t0,r2_main_e2e,r4_count_only,0.2,0.17521321271321266,0.031488885316785176,0.46512591119946983,38.45890410958904,0.0
t0,r2_main_e2e,r3_gate,0.4,0.5293791856291855,0.047037952115903676,0.5773967307267506,47.742009132420094,0.0
t0,r2_main_e2e,r4_peak,0.4,0.5308603433603433,0.044842304671967335,0.3546774906118842,29.326484018264846,0.0
t0,r2_main_e2e,r4_count_only,0.4,0.17285284160284156,0.010309105873708887,0.3546774906118842,29.326484018264846,0.0
t0,r2_main_e2e,r3_gate,0.6,0.4890583953083953,0.04345020701697205,0.3768776231499889,31.162100456621005,0.0
t0,r2_main_e2e,r4_peak,0.6,0.4944823694823694,0.04417880424867325,0.2418544289816655,19.99771689497717,0.0
t0,r2_main_e2e,r4_count_only,0.6,0.15348679098679094,0.0105754915220017,0.2418544289816655,19.99771689497717,0.0
t0,r2_main_e2e,r3_gate,0.8,0.45677632552632547,0.03635507746545216,0.1817981002871659,15.031963470319633,0.0
t0,r2_main_e2e,r4_peak,0.8,0.4828421578421578,0.055995126292353765,0.12477910315882479,10.317351598173516,0.0
t0,r2_main_e2e,r4_count_only,0.8,0.150801282051282,0.02110084311774809,0.12477910315882479,10.317351598173516,0.0
t0,r2_main_e2e,r3_gate,0.9,0.38513708513708506,0.022136277016962105,0.08360945438480223,6.9132420091324205,0.03881278538812783
t0,r2_main_e2e,r4_peak,0.9,0.40045695045695046,0.023431803680761844,0.060580958692290666,5.009132420091324,0.04109589041095887
t0,r2_main_e2e,r4_count_only,0.9,0.14194786694786693,0.021840515280736442,0.060580958692290666,5.009132420091324,0.04109589041095887
raw,r0b_analog,r0_direct_l2,0.0,0.5862734487734488,0.00974412952227766,1.0,82.68493150684931,0.0
raw,r0b_analog,r0a_integrated_128d,0.0,0.5254349816849816,0.01207668401042451,1.0,82.68493150684931,0.0
raw,r0b_analog,r0b_analog_16d,0.0,0.4721859159359159,0.09667547435257069,1.0,82.68493150684931,0.0
raw,r0b_analog,r1_main_what_posthoc,0.0,0.4358266733266733,0.05544898449517312,1.0,82.68493150684931,0.0
raw,r0b_analog,r2_main_activity_x_what_posthoc,0.0,0.46463027713027705,0.07321807641713358,1.0,82.68493150684931,0.0
raw,r0b_analog,r1_legacy_raw_softmax_posthoc,0.0,0.3981261793761794,0.03140670605427733,1.0,82.68493150684931,0.0
raw,r0b_analog,r2_legacy_rms_x_raw_softmax_posthoc,0.0,0.4351699226699226,0.05009847909613447,1.0,82.68493150684931,0.0
raw,r2_main_frozen,r2_dense,0.0,0.4961524586524586,0.04631000483822798,1.0,82.68493150684931,0.0
raw,r2_main_frozen,r2_hard_token,0.0,0.3366432178932179,0.08014650319416516,1.0,82.68493150684931,0.0
raw,r2_main_frozen,magnitude_only,0.0,0.16930060680060677,0.012269981460709132,1.0,,0.0
raw,r2_main_frozen,r3_gate,0.2,0.49074120324120324,0.04709114746255974,0.7696045946542963,63.63470319634703,0.0
raw,r2_main_frozen,r4_peak,0.2,0.4574989824989824,0.03915936068696512,0.16608681245858178,13.732876712328766,0.0
raw,r2_main_frozen,r4_count_only,0.2,0.1588309838309838,0.007993432021295087,0.16608681245858178,13.732876712328766,0.0
raw,r2_main_frozen,r3_gate,0.4,0.48276260776260765,0.04570006759072283,0.5811243649215817,48.050228310502284,0.0
raw,r2_main_frozen,r4_peak,0.4,0.4696877196877196,0.02134869391777497,0.12972166998011922,10.726027397260275,0.0
raw,r2_main_frozen,r4_count_only,0.4,0.14918160543160539,0.006940267180842782,0.12972166998011922,10.726027397260275,0.0
raw,r2_main_frozen,r3_gate,0.6,0.4106310356310356,0.08421459247485286,0.39165009940357853,32.38356164383561,0.009132420091324166
raw,r2_main_frozen,r4_peak,0.6,0.3873889998889999,0.04379376999132848,0.09211398277004634,7.616438356164384,0.009132420091324166
raw,r2_main_frozen,r4_count_only,0.6,0.1353387353387353,0.023401807535003906,0.09211398277004634,7.616438356164384,0.009132420091324166
raw,r2_main_frozen,r3_gate,0.8,0.32869352869352864,0.049972472812388896,0.19419593549812234,16.057077625570773,0.07305936073059356
raw,r2_main_frozen,r4_peak,0.8,0.29391256891256884,0.04482706749310067,0.0500331345261762,4.136986301369863,0.0753424657534246
raw,r2_main_frozen,r4_count_only,0.8,0.17644161394161392,0.0369933347584177,0.0500331345261762,4.136986301369863,0.0753424657534246
raw,r2_main_frozen,r3_gate,0.9,0.20115995115995114,0.03189881912546184,0.09410205434062291,7.780821917808219,0.20776255707762556
raw,r2_main_frozen,r4_peak,0.9,0.1878293003293003,0.027393286417257537,0.027529268831455667,2.276255707762557,0.21917808219178078
raw,r2_main_frozen,r4_count_only,0.9,0.1560231435231435,0.03333115518415984,0.027529268831455667,2.276255707762557,0.21917808219178078
raw,r2_main_e2e,r2_dense,0.0,0.5151910589410589,0.06000624278510155,1.0,82.68493150684931,0.0
raw,r2_main_e2e,r2_hard_token,0.0,0.3699360824360824,0.07146503617248444,1.0,82.68493150684931,0.0
raw,r2_main_e2e,magnitude_only,0.0,0.169536482036482,0.011378747230071784,1.0,,0.0
raw,r2_main_e2e,r3_gate,0.2,0.5060941373441373,0.059172015867066705,0.770267285177822,63.68949771689498,0.0
raw,r2_main_e2e,r4_peak,0.2,0.47729885854885845,0.022994532194608282,0.17039430086149765,14.08904109589041,0.0
raw,r2_main_e2e,r4_count_only,0.2,0.1422466422466422,0.002353559427735907,0.17039430086149765,14.08904109589041,0.0
raw,r2_main_e2e,r3_gate,0.4,0.46981398231398225,0.06798319237647556,0.5805721228186437,48.00456621004566,0.0
raw,r2_main_e2e,r4_peak,0.4,0.44277574277574266,0.0518776292856885,0.1323724320742213,10.945205479452056,0.0
raw,r2_main_e2e,r4_count_only,0.4,0.12370037370037368,0.01739421336821664,0.1323724320742213,10.945205479452056,0.0
raw,r2_main_e2e,r3_gate,0.6,0.41017871017871016,0.08711190931881364,0.3929478683454826,32.490867579908674,0.002283105022831033
raw,r2_main_e2e,r4_peak,0.6,0.38583037333037334,0.06620767298589397,0.0933013032913629,7.7146118721461185,0.0045662100456621
raw,r2_main_e2e,r4_count_only,0.6,0.15775035150035144,0.010743095275534383,0.0933013032913629,7.7146118721461185,0.0045662100456621
raw,r2_main_e2e,r3_gate,0.8,0.2969454156954156,0.029641940074111393,0.19775789706207192,16.35159817351598,0.0616438356164383
raw,r2_main_e2e,r4_peak,0.8,0.2989214489214489,0.011023587416789235,0.05168986083499,4.273972602739726,0.06849315068493146
raw,r2_main_e2e,r4_count_only,0.8,0.1776522089022088,0.04327174853715055,0.05168986083499,4.273972602739726,0.06849315068493146
raw,r2_main_e2e,r3_gate,0.9,0.2381114256114256,0.02178453137598552,0.09368787276341943,7.7465753424657535,0.23515981735159816
raw,r2_main_e2e,r4_peak,0.9,0.2220811595811595,0.0037667175443151933,0.02741882041086807,2.267123287671233,0.2511415525114155
raw,r2_main_e2e,r4_count_only,0.9,0.14934625559625553,0.012524866015134656,0.02741882041086807,2.267123287671233,0.2511415525114155
ema,r0b_analog,r0_direct_l2,0.0,0.5862734487734488,0.00974412952227766,1.0,82.68493150684931,0.0
ema,r0b_analog,r0a_integrated_128d,0.0,0.5254349816849816,0.01207668401042451,1.0,82.68493150684931,0.0
ema,r0b_analog,r0b_analog_16d,0.0,0.48824138824138824,0.031033908182376297,1.0,82.68493150684931,0.0
ema,r0b_analog,r1_main_what_posthoc,0.0,0.44226999851999843,0.04372626274081508,1.0,82.68493150684931,0.0
ema,r0b_analog,r2_main_activity_x_what_posthoc,0.0,0.4957211769711769,0.032520074427731645,1.0,82.68493150684931,0.0
ema,r0b_analog,r1_legacy_raw_softmax_posthoc,0.0,0.5117685555185555,0.019865630294471158,1.0,82.68493150684931,0.0
ema,r0b_analog,r2_legacy_rms_x_raw_softmax_posthoc,0.0,0.5424075924075923,0.01511591197508481,1.0,82.68493150684931,0.0
ema,r2_main_frozen,r2_dense,0.0,0.5086577774077774,0.039632916677794644,1.0,82.68493150684931,0.0
ema,r2_main_frozen,r2_hard_token,0.0,0.4480975043475042,0.04073171694740736,1.0,82.68493150684931,0.0
ema,r2_main_frozen,magnitude_only,0.0,0.16930060680060677,0.012269981460709132,1.0,,0.0
ema,r2_main_frozen,r3_gate,0.2,0.5000853313353313,0.05598407417326051,0.7603545394300862,62.86986301369863,0.0
ema,r2_main_frozen,r4_peak,0.2,0.4999192936692936,0.04584742200280433,0.164706207201237,13.618721461187215,0.0
ema,r2_main_frozen,r4_count_only,0.2,0.12979659229659224,0.02182061709627137,0.164706207201237,13.618721461187215,0.0
ema,r2_main_frozen,r3_gate,0.4,0.4736078736078735,0.020769911918433727,0.5559421250276121,45.96803652968037,0.0
ema,r2_main_frozen,r4_peak,0.4,0.4632286694786694,0.021003017880428018,0.12174177159266615,10.066210045662102,0.0
ema,r2_main_frozen,r4_count_only,0.4,0.14610065860065857,0.031795219446175825,0.12174177159266615,10.066210045662102,0.0
ema,r2_main_frozen,r3_gate,0.6,0.4164125226625226,0.014888684436447926,0.3573282527059862,29.54566210045662,0.006849315068493133
ema,r2_main_frozen,r4_peak,0.6,0.3935862748362748,0.035963416768814115,0.0801579412414402,6.627853881278539,0.006849315068493133
ema,r2_main_frozen,r4_count_only,0.6,0.16298123173123166,0.039376166455215654,0.0801579412414402,6.627853881278539,0.006849315068493133
ema,r2_main_frozen,r3_gate,0.8,0.3116896991896992,0.037326237144014,0.1698972829688535,14.04794520547945,0.16894977168949765
ema,r2_main_frozen,r4_peak,0.8,0.29387464387464385,0.03505305721412761,0.039982328252705965,3.3059360730593608,0.17579908675799086
ema,r2_main_frozen,r4_count_only,0.8,0.17680976430976425,0.041003960687152265,0.039982328252705965,3.3059360730593608,0.17579908675799086
ema,r2_main_frozen,r3_gate,0.9,0.2619792244792245,0.060465787990649424,0.0801855533465871,6.63013698630137,0.4452054794520548
ema,r2_main_frozen,r4_peak,0.9,0.22794959669959666,0.03366152398939105,0.0188038436050364,1.5547945205479452,0.4589041095890411
ema,r2_main_frozen,r4_count_only,0.9,0.17067631442631437,0.055170598138640004,0.0188038436050364,1.5547945205479452,0.4589041095890411
ema,r2_main_e2e,r2_dense,0.0,0.5353172290672289,0.045920358536894065,1.0,82.68493150684931,0.0
ema,r2_main_e2e,r2_hard_token,0.0,0.47178839678839674,0.04728919031363148,1.0,82.68493150684931,0.0
ema,r2_main_e2e,magnitude_only,0.0,0.1700341325341325,0.002597620497134356,1.0,,0.0
ema,r2_main_e2e,r3_gate,0.2,0.5345039220039219,0.033431528612698054,0.7658217362491717,63.32191780821918,0.0
ema,r2_main_e2e,r4_peak,0.2,0.5233139545639545,0.020056826794619013,0.17119505191075768,14.155251141552512,0.0
ema,r2_main_e2e,r4_count_only,0.2,0.14933584933584929,0.01219037465224256,0.17119505191075768,14.155251141552512,0.0
ema,r2_main_e2e,r3_gate,0.4,0.4898256835756835,0.05742477458584882,0.5616302186878728,46.43835616438357,0.0
ema,r2_main_e2e,r4_peak,0.4,0.49510397010397006,0.021743258909991625,0.129252264192622,10.687214611872145,0.0
ema,r2_main_e2e,r4_count_only,0.4,0.11683871683871676,0.003142844397361369,0.129252264192622,10.687214611872145,0.0
ema,r2_main_e2e,r3_gate,0.6,0.42838897213897215,0.04972547978859807,0.3614424563728738,29.885844748858446,0.006849315068493133
ema,r2_main_e2e,r4_peak,0.6,0.4229823417323417,0.02571659413540572,0.08463110227523744,6.997716894977169,0.0091324200913242
ema,r2_main_e2e,r4_count_only,0.6,0.1736374736374736,0.03774123650689454,0.08463110227523744,6.997716894977169,0.0091324200913242
ema,r2_main_e2e,r3_gate,0.8,0.3307363932363932,0.05407620283813393,0.16578307930196592,13.707762557077627,0.1575342465753424
ema,r2_main_e2e,r4_peak,0.8,0.3257168757168757,0.06809104848295024,0.04009277667329356,3.315068493150685,0.1666666666666666
ema,r2_main_e2e,r4_count_only,0.8,0.16306795056795054,0.02794961567499359,0.04009277667329356,3.315068493150685,0.1666666666666666
ema,r2_main_e2e,r3_gate,0.9,0.2470684408184408,0.014046763737196231,0.0809310801855533,6.691780821917809,0.4383561643835616
ema,r2_main_e2e,r4_peak,0.9,0.23755341880341874,0.02881760520075292,0.0201844488623812,1.6689497716894979,0.4452054794520548
ema,r2_main_e2e,r4_count_only,0.9,0.1642096329596329,0.047945018144023126,0.0201844488623812,1.6689497716894979,0.4452054794520548
